ticker,n_obs,capm_alpha,capm_alpha_p,capm_beta_mkt,capm_r2,capm_adj_r2,ff3_alpha,ff3_alpha_p,ff3_mkt,ff3_smb,ff3_hml,ff3_r2,ff3_adj_r2
AAPL,1231,0.0002282753785621325,0.489440919381582,1.1572884853369565,0.5547047604555184,0.5543424372337573,0.00020259393083374666,0.5295194107835256,1.1656189865884103,-0.3050085717901128,-0.20739641350822471,0.5780896562424128,0.5770580906097537
MSFT,1231,2.4684766893998463e-05,0.9388234968013217,1.0865910496292688,0.5365319065546926,0.5361547966332563,4.098659820897392e-05,0.886077496469689,1.0461953205944734,-0.459487242757832,-0.5008763857352763,0.6350463609783998,0.6341540537925279
AMZN,1231,-0.00014210346838063975,0.7474620285892088,1.4487799497182727,0.522234778048394,0.5218460349874082,-3.627513227037994e-05,0.9314827674838906,1.337528799628799,-0.17408533944424384,-0.5312517455352139,0.5654006428480661,0.5643380527327801
NVDA,1231,0.0017724777577537657,0.007216577455494427,2.0762696363148105,0.5018844092168118,0.5014791076783389,0.001957966758967268,0.0011648531355980072,1.8737106625314244,-0.44585856719038935,-1.0674435233429096,0.5864565199716756,0.5854454112185501
GOOGL,1231,0.0004264651692995367,0.29404517647898876,1.1945713390714041,0.4671209735322601,0.46668738604123683,0.00047280184541828043,0.2262574213750451,1.1351384101473483,-0.27567840619158296,-0.42578010278153433,0.5098895699507503,0.5086912559408499
META,1231,0.00025526883502726143,0.6776270768205956,1.5612735685211576,0.39603344781951133,0.3955420185663132,0.0003785749126536107,0.5232308118185728,1.4296961884719261,-0.23916499080953962,-0.6541737294485919,0.4393952880942953,0.43802461642704416
TSLA,1231,0.00034719303321935786,0.6844616404348378,1.9935634909392206,0.3557951661822899,0.3552709962605506,0.0006374154050273929,0.44885112303673264,1.7388256777314794,0.45934610154720984,-0.549650064274605,0.3778262178510714,0.37630501055975374
BRK-B,1231,0.0001648879495078261,0.5031429659507514,0.5917121394455345,0.3693506095053414,0.3688374692364279,-5.994852865313676e-05,0.7723846659232055,0.7939391839714777,-0.2650651882540134,0.5137484371342357,0.5553761617594403,0.5542890619104412
UNH,1231,-0.00033426740014572056,0.5432060676069539,0.4054876777892598,0.05229176458354701,0.05152064315521798,-0.0004406349198108717,0.4214497656509187,0.4985820283182806,-0.17333661060079722,0.19662104526341967,0.0626352359350495,0.060343390546137576
JNJ,1231,0.00028816423808208366,0.32975929652148067,0.16724520636753426,0.03144348997943336,0.030655404942801612,0.0001636674502266138,0.5711069396556816,0.2750605643918631,-0.2241984141503435,0.20948629830106377,0.07910190857265464,0.07685032399703762
XOM,1231,0.0008395288428939626,0.06307615517027566,0.47749377311292346,0.10193827235456254,0.10120754678284138,0.0005289098520384069,0.17261552527732207,0.7706204453642834,-0.11053333066472841,0.9573700793266546,0.34066717639793354,0.33905511570452995
JPM,1231,0.00031295948850935956,0.3557008649910606,0.8773445402573982,0.4048292884759985,0.40434501613138996,5.9796364822179825e-05,0.8359788106481173,1.1133298263722355,-0.14442816239776524,0.7276545335805628,0.5695064574773394,0.5684539060286287
V,1231,-3.492637304267761e-05,0.9111795440182168,0.8097176195890198,0.4041840823314804,0.40369928500221397,-0.00014146969266340384,0.647060597590505,0.8993820121163716,-0.2402916736277939,0.13237745467735582,0.4224934607949604,0.4210814643665862
PG,1231,3.8542758065415024e-06,0.9898892654522646,0.25660862746841656,0.06733633637704028,0.06657745626017875,-0.00012043864407264404,0.6856169128636543,0.3585248315781498,-0.3302868807089475,0.10604094662116932,0.11180764716180791,0.1096360277172157
MA,1231,-3.500590250991061e-05,0.9134995968134688,0.8955150105233414,0.439218611169221,0.4387623203727762,-0.00014092124758456308,0.6580363704300674,0.984842993232059,-0.23530219599859012,0.1350578386290814,0.4552712822236641,0.4539394271679762
HD,1231,-0.00018655671369703013,0.5854934388132568,0.8122238399283517,0.3638360795671507,0.36331845229259185,-0.00014138427168448176,0.6745836442118432,0.7848052960179115,0.29902167454442913,0.1348068303829444,0.38637181265002507,0.3848714992335214
CVX,1231,0.0005084124823727706,0.22094075699511548,0.5379414470965185,0.14546990199609655,0.14477459679023497,0.00022459781332582871,0.5309802224131551,0.8053700530648663,-0.10849589173057257,0.8674909359038783,0.366146755964468,0.36459699253161826
MRK,1231,0.00041166582682849296,0.3175294796440211,0.25370603213958814,0.03707711807764624,0.03629361695321809,0.0002975842507126106,0.4658376663885531,0.35384334232302334,-0.18048460545819844,0.21613255087301728,0.05898566845121589,0.056684899914421716
ABBV,1231,0.0005290839421139327,0.18256276083241152,0.29989832286340046,0.05476588521329473,0.05399677690183291,0.0003835701788857326,0.3258870619958056,0.4253855292250469,-0.27188819667818465,0.23531918095441515,0.08950743311568776,0.08728128992037154
PEP,1231,3.056984684780094e-05,0.9228433837556288,0.27047779416393253,0.06932036415614728,0.06856309838247454,-0.00010594193212779998,0.7312371320456253,0.3855148696328567,-0.30505467919274526,0.17234964050569634,0.11547660154697259,0.1133139526509993
